task_id,phase,phase_name,task_title,description,depends_on,priority,status,assignee,copilot_suitable,issue_type,labels
1.3,1,Fix Function App,Upgrade Functions version,Update from v3 to v4 in api.csproj and Bicep,1.2,P1 – Critical,done,,Yes,planned,Phase 1 - Fix Function App;P1 – Critical;M (1–2 days);Copilot: Yes;area: backend
1.4,1,Fix Function App,Update NuGet packages,Update CosmosDB and Functions NuGet packages,1.2,P2 – High,done,,Yes,planned,Phase 1 - Fix Function App;P2 – High;S (half-day);Copilot: Yes;area: backend
1.5,1,Fix Function App,Update test project,Migrate tests.csproj to match new target framework,1.4,P2 – High,done,,Yes,planned,Phase 1 - Fix Function App;P2 – High;S (half-day);Copilot: Yes;area: backend
1.6,1,Fix Function App,Verify Cosmos DB data,Ensure counter document exists with correct schema,1.1,P2 – High,done,,Yes,planned,Phase 1 - Fix Function App;P2 – High;S (half-day);Copilot: Yes;area: backend
1.7,1,Fix Function App,Verify Key Vault access,Confirm Function App managed identity has Key Vault read access,1.1,P2 – High,done,,Yes,planned,Phase 1 - Fix Function App;P2 – High;S (half-day);Copilot: Yes;area: infrastructure
1.8,1,Fix Function App,Update CORS settings,Verify allowed origins match ryanmcvey.me custom domain,1.1,P2 – High,done,,Yes,planned,Phase 1 - Fix Function App;P2 – High;S (half-day);Copilot: Yes;area: backend
1.9,1,Fix Function App,Update function key in main.js,Retrieve current function key and update frontend/main.js,1.3,P2 – High,done,,Yes,planned,Phase 1 - Fix Function App;P2 – High;S (half-day);Copilot: Yes;area: frontend
1.10,1,Fix Function App,Test function locally,Run Function App locally with func start and verify counter,1.5,P2 – High,done,,Yes,planned,Phase 1 - Fix Function App;P2 – High;S (half-day);Copilot: Yes;area: backend
1.11,1,Fix Function App,Update workflow dotnet version,Change DOTNET_VERSION from 3.1 to 8.0 in workflow files,1.3,P2 – High,done,,Yes,planned,Phase 1 - Fix Function App;P2 – High;S (half-day);Copilot: Yes;area: ci-cd
1.12,1,Fix Function App,Set FtpsState to Disabled on Function App,Function App allows FTP/FTPS — set to Disabled in Bicep (gap-analysis),1.3,P3 – Medium,done,,Yes,gap-analysis-finding,Phase 1 - Fix Function App;P3 – Medium;S (half-day);Copilot: Yes;area: infrastructure;gap-analysis-finding
1.13,1,Fix Function App,Phase 1 Retrospective,Run retrospective generator; commit report; close milestone,,P3 – Medium,done,,Partial,planned,Phase 1 - Fix Function App;P3 – Medium;S (half-day);Copilot: Partial;area: documentation;phase-retrospective
2.1,2,Content Update,Design content layout,Map profile sections to HTML sections in index.html,0.6,P2 – High,done,,Yes,planned,Phase 2 - Content Update;P2 – High;M (1–2 days);Copilot: Yes;area: frontend
2.2,2,Content Update,Update banner text,Update name; title; rotating text items,2.1,P2 – High,done,,Yes,planned,Phase 2 - Content Update;P2 – High;S (half-day);Copilot: Yes;area: frontend
2.3,2,Content Update,Update About section,Replace with profile background and philosophy,2.1,P2 – High,done,,Yes,planned,Phase 2 - Content Update;P2 – High;S (half-day);Copilot: Yes;area: frontend
2.4,2,Content Update,Update Resume section,Add skills; certifications; experience summary,2.1,P2 – High,done,,Yes,planned,Phase 2 - Content Update;P2 – High;M (1–2 days);Copilot: Yes;area: frontend
2.5,2,Content Update,Add Projects section,Feature ThisOrThatDesign and other project work,2.1,P2 – High,done,,Yes,planned,Phase 2 - Content Update;P2 – High;M (1–2 days);Copilot: Yes;area: frontend
2.6,2,Content Update,Update profile photo,Replace me.png if needed,2.1,P3 – Medium,done,,No,planned,Phase 2 - Content Update;P3 – Medium;S (half-day);Copilot: No;area: frontend
2.7,2,Content Update,Update certification badges,Add/update Azure cert badge images,2.1,P3 – Medium,done,,Yes,planned,Phase 2 - Content Update;P3 – Medium;S (half-day);Copilot: Yes;area: frontend
2.8,2,Content Update,Update social links,Verify LinkedIn and GitHub URLs,2.1,P3 – Medium,done,,Yes,planned,Phase 2 - Content Update;P3 – Medium;S (half-day);Copilot: Yes;area: frontend
2.9,2,Content Update,Update page metadata,Title; description; Open Graph tags,2.1,P3 – Medium,done,,Yes,planned,Phase 2 - Content Update;P3 – Medium;S (half-day);Copilot: Yes;area: frontend
2.10,2,Content Update,Review CSS/styling,Adjust styles for new content layout,2.5,P3 – Medium,done,,Yes,planned,Phase 2 - Content Update;P3 – Medium;M (1–2 days);Copilot: Yes;area: frontend
2.11,2,Content Update,Phase 2 Retrospective,Run retrospective generator; commit report; close milestone,,P3 – Medium,done,,Partial,planned,Phase 2 - Content Update;P3 – Medium;S (half-day);Copilot: Partial;area: documentation;phase-retrospective
3.1,3,Dev Deployment,Update dev workflow variables,Set appropriate stackVersion; AppName for new dev stack,"1.11;2.10",P1 – Critical,done,,Yes,planned,Phase 3 - Dev Deployment;P1 – Critical;S (half-day);Copilot: Yes;area: ci-cd
3.2,3,Dev Deployment,Update GitHub Actions syntax,Fix deprecated ::set-output; update action versions,3.1,P1 – Critical,done,,Yes,planned,Phase 3 - Dev Deployment;P1 – Critical;M (1–2 days);Copilot: Yes;area: ci-cd
3.3,3,Dev Deployment,Verify/rotate dev credentials,Ensure Azure SP and Cloudflare token are valid,0.8,P1 – Critical,done,,No,planned,Phase 3 - Dev Deployment;P1 – Critical;S (half-day);Copilot: No;area: credentials
3.4,3,Dev Deployment,Push to develop branch,Trigger dev workflow deployment,"3.2;3.3",P1 – Critical,done,,No,planned,Phase 3 - Dev Deployment;P1 – Critical;S (half-day);Copilot: No;area: ci-cd
3.5,3,Dev Deployment,Verify IaC deployment,Confirm all resources created successfully,3.4,P1 – Critical,done,,Yes,planned,Phase 3 - Dev Deployment;P1 – Critical;S (half-day);Copilot: Yes;area: infrastructure
3.6,3,Dev Deployment,Verify Function App,Test counter endpoint returns valid response,3.5,P1 – Critical,done,,Yes,planned,Phase 3 - Dev Deployment;P1 – Critical;S (half-day);Copilot: Yes;area: backend
3.7,3,Dev Deployment,Verify frontend,Access dev URL and confirm content; styling; counter,3.5,P1 – Critical,done,,No,planned,Phase 3 - Dev Deployment;P1 – Critical;S (half-day);Copilot: No;area: frontend
3.8,3,Dev Deployment,Seed Cosmos DB,Create initial counter document if needed,3.5,P2 – High,done,,Yes,planned,Phase 3 - Dev Deployment;P2 – High;S (half-day);Copilot: Yes;area: backend
3.9,3,Dev Deployment,End-to-end validation,Full test of all features on dev environment,"3.6;3.7",P1 – Critical,done,,No,planned,Phase 3 - Dev Deployment;P1 – Critical;S (half-day);Copilot: No;area: frontend
3.10,3,Dev Deployment,Add production environment protection rules,Configure required reviewers and branch policy on production environment (gap-analysis),,P2 – High,done,,No,gap-analysis-finding,Phase 3 - Dev Deployment;P2 – High;S (half-day);Copilot: No;area: ci-cd;gap-analysis-finding
3.11,3,Dev Deployment,Fix development environment branch policy,Add develop branch policy to development environment (gap-analysis),,P2 – High,done,,No,gap-analysis-finding,Phase 3 - Dev Deployment;P2 – High;S (half-day);Copilot: No;area: ci-cd;gap-analysis-finding
3.12,3,Dev Deployment,Update storage account min TLS to 1.2,Set minimumTlsVersion: TLS1_2 on all storage accounts (gap-analysis),3.1,P2 – High,done,,Yes,gap-analysis-finding,Phase 3 - Dev Deployment;P2 – High;S (half-day);Copilot: Yes;area: infrastructure;gap-analysis-finding
3.13,3,Dev Deployment,Migrate backend App Insights to workspace-based,Convert Classic App Insights to workspace-based mode (gap-analysis),3.1,P3 – Medium,done,,Yes,gap-analysis-finding,Phase 3 - Dev Deployment;P3 – Medium;M (1–2 days);Copilot: Yes;area: infrastructure;gap-analysis-finding
3.14,3,Dev Deployment,Enable Key Vault soft delete,Set enableSoftDelete: true on Key Vault (gap-analysis),3.1,P2 – High,done,,Yes,gap-analysis-finding,Phase 3 - Dev Deployment;P2 – High;S (half-day);Copilot: Yes;area: infrastructure;gap-analysis-finding
3.15,3,Dev Deployment,Update backend App Insights connection string format,Add IngestionEndpoint and LiveEndpoint to connection string (gap-analysis),3.13,P3 – Medium,done,,Yes,gap-analysis-finding,Phase 3 - Dev Deployment;P3 – Medium;S (half-day);Copilot: Yes;area: infrastructure;gap-analysis-finding
3.16,3,Dev Deployment,Update CLOUDFLARE_TOKEN and CLOUDFLARE_ZONE secrets,Update stale GitHub secrets with current Cloudflare API token (gap-analysis),,P2 – High,done,,No,gap-analysis-finding,Phase 3 - Dev Deployment;P2 – High;S (half-day);Copilot: No;area: credentials;gap-analysis-finding
3.17,3,Dev Deployment,Phase 3 Retrospective,Run retrospective generator; commit report; close milestone,,P3 – Medium,done,,Partial,planned,Phase 3 - Dev Deployment;P3 – Medium;S (half-day);Copilot: Partial;area: documentation;phase-retrospective
4.1,4,Prod Deployment,Update prod workflow variables,Set appropriate stackVersion for new production stack,3.9,P1 – Critical,done,,Yes,planned,Phase 4 - Prod Deployment;P1 – Critical;S (half-day);Copilot: Yes;area: ci-cd
4.2,4,Prod Deployment,Verify/rotate prod credentials,Ensure Azure SP and Cloudflare token are valid for prod,0.8,P1 – Critical,done,,No,planned,Phase 4 - Prod Deployment;P1 – Critical;S (half-day);Copilot: No;area: credentials
4.3,4,Prod Deployment,Merge to main branch,Trigger production workflow deployment,"4.1;4.2",P1 – Critical,done,,No,planned,Phase 4 - Prod Deployment;P1 – Critical;S (half-day);Copilot: No;area: ci-cd
4.4,4,Prod Deployment,Verify IaC deployment,Confirm all resources created successfully,4.3,P1 – Critical,done,,Yes,planned,Phase 4 - Prod Deployment;P1 – Critical;S (half-day);Copilot: Yes;area: infrastructure
4.5,4,Prod Deployment,Verify Function App,Test counter endpoint on production,4.4,P1 – Critical,done,,Yes,planned,Phase 4 - Prod Deployment;P1 – Critical;S (half-day);Copilot: Yes;area: backend
4.6,4,Prod Deployment,Verify frontend,Access resume.ryanmcvey.me and confirm content,4.4,P1 – Critical,done,,No,planned,Phase 4 - Prod Deployment;P1 – Critical;S (half-day);Copilot: No;area: frontend
4.7,4,Prod Deployment,Verify DNS resolution,Confirm ryanmcvey.me domain resolves correctly,4.4,P2 – High,done,,Yes,planned,Phase 4 - Prod Deployment;P2 – High;S (half-day);Copilot: Yes;area: dns-cdn
4.8,4,Prod Deployment,Verify Cloudflare proxy,Confirm proxied CNAME records are active,4.7,P2 – High,done,,Yes,planned,Phase 4 - Prod Deployment;P2 – High;S (half-day);Copilot: Yes;area: dns-cdn
4.9,4,Prod Deployment,End-to-end production validation,Full test on production URLs,4.5 through 4.8,P1 – Critical,done,,No,planned,Phase 4 - Prod Deployment;P1 – Critical;S (half-day);Copilot: No;area: frontend
4.10,4,Prod Deployment,Phase 4 Retrospective,Run retrospective generator; commit report; close milestone,,P3 – Medium,done,,Partial,planned,Phase 4 - Prod Deployment;P3 – Medium;S (half-day);Copilot: Partial;area: documentation;phase-retrospective
5.1,5,Cleanup & Docs,Identify old resources,Compare old v1 resources against new deployment,4.9,P2 – High,todo,,Yes,planned,Phase 5 - Cleanup & Docs;P2 – High;S (half-day);Copilot: Yes;area: infrastructure
5.2,5,Cleanup & Docs,Remove old resource groups,Delete old backend and frontend RGs if replaced,5.1,P2 – High,todo,,No,planned,Phase 5 - Cleanup & Docs;P2 – High;S (half-day);Copilot: No;area: infrastructure
5.3,5,Cleanup & Docs,Clean up DNS records,Remove stale Cloudflare DNS records for retired domains,5.1,P3 – Medium,todo,,Yes,planned,Phase 5 - Cleanup & Docs;P3 – Medium;S (half-day);Copilot: Yes;area: dns-cdn
5.4,5,Cleanup & Docs,Update README.md,Reflect new stack version; configuration; and content,4.9,P3 – Medium,todo,,Yes,planned,Phase 5 - Cleanup & Docs;P3 – Medium;S (half-day);Copilot: Yes;area: documentation
5.5,5,Cleanup & Docs,Update docs/ directory,Refresh architecture; workflow; and assessment docs,4.9,P3 – Medium,todo,,Yes,planned,Phase 5 - Cleanup & Docs;P3 – Medium;M (1–2 days);Copilot: Yes;area: documentation
5.6,5,Cleanup & Docs,Close backlog items,Mark all completed issues as done,"5.4;5.5",P3 – Medium,todo,,Yes,planned,Phase 5 - Cleanup & Docs;P3 – Medium;S (half-day);Copilot: Yes;area: documentation
5.7,5,Cleanup & Docs,Final cost review,Verify Azure cost impact of new vs. old stack,5.2,P3 – Medium,todo,,No,planned,Phase 5 - Cleanup & Docs;P3 – Medium;S (half-day);Copilot: No;area: infrastructure
5.8,5,Cleanup & Docs,Delete stale GitHub secrets,Remove unused CLOUDFLARE_ZONE2 and CLOUDFLARE_ZONE3 secrets (gap-analysis),,P3 – Medium,todo,,No,gap-analysis-finding,Phase 5 - Cleanup & Docs;P3 – Medium;S (half-day);Copilot: No;area: credentials;gap-analysis-finding
5.9,5,Cleanup & Docs,Clean up disabled Azure CDN workflows,Delete or archive disabled azure-static-web-apps-*.yml workflow files (gap-analysis),,P4 – Low,todo,,Yes,gap-analysis-finding,Phase 5 - Cleanup & Docs;P4 – Low;S (half-day);Copilot: Yes;area: ci-cd;gap-analysis-finding
5.10,5,Cleanup & Docs,Remove copilot GitHub environment,Delete unused copilot environment from repo settings (gap-analysis),,P4 – Low,todo,,No,gap-analysis-finding,Phase 5 - Cleanup & Docs;P4 – Low;S (half-day);Copilot: No;area: ci-cd;gap-analysis-finding
5.11,5,Cleanup & Docs,Clean up excess CORS origins,Remove stale Azure CDN CORS origins from Function App Bicep (gap-analysis),,P3 – Medium,todo,,Yes,gap-analysis-finding,Phase 5 - Cleanup & Docs;P3 – Medium;S (half-day);Copilot: Yes;area: backend;gap-analysis-finding
5.12,5,Cleanup & Docs,Set Key Vault secret expiration dates,Add expiration dates to all Key Vault secrets (gap-analysis),,P3 – Medium,todo,,No,gap-analysis-finding,Phase 5 - Cleanup & Docs;P3 – Medium;S (half-day);Copilot: No;area: infrastructure;gap-analysis-finding
5.13,5,Cleanup & Docs,Migrate Key Vault to RBAC authorization,Switch from Vault access policy to Azure RBAC model (gap-analysis),,P3 – Medium,todo,,Yes,gap-analysis-finding,Phase 5 - Cleanup & Docs;P3 – Medium;M (1–2 days);Copilot: Yes;area: infrastructure;gap-analysis-finding
5.14,5,Cleanup & Docs,Address frontend iKey hardcoding,Remove hardcoded App Insights instrumentation key from JS (gap-analysis),,P3 – Medium,todo,,Yes,gap-analysis-finding,Phase 5 - Cleanup & Docs;P3 – Medium;S (half-day);Copilot: Yes;area: frontend;gap-analysis-finding
5.15,5,Cleanup & Docs,Phase 5 Retrospective,Run retrospective generator; commit report; close milestone,,P3 – Medium,todo,,Partial,planned,Phase 5 - Cleanup & Docs;P3 – Medium;S (half-day);Copilot: Partial;area: documentation;phase-retrospective
